circuit_family,provider,target_model,qubit_count,repetition,logical_depth,routed_depth,native_compiled_depth,routing_swap_count,native_entangling_gate_count,unsupported_operation_count,equivalence_passed,native_operation_counts,native_operation_sequence
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,2,8,8.0,17.0,0.0,6.0,0.0,True,"{""measure"": 7, ""rx"": 13, ""rz"": 26, ""rzz"": 6}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(0,3) -> rz(0) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> rz(5) -> rx(5) -> rz(5) -> rzz(0,5) -> rz(0) -> rx(5) -> rz(5) -> rz(6) -> rx(6) -> rz(6) -> rzz(0,6) -> rz(0) -> rx(6) -> rz(6) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4) -> measure(5) -> measure(6)"
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,8,8.0,17.0,0.0,6.0,0.0,True,"{""measure"": 7, ""rx"": 13, ""rz"": 26, ""rzz"": 6}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(0,3) -> rz(0) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> rz(5) -> rx(5) -> rz(5) -> rzz(0,5) -> rz(0) -> rx(5) -> rz(5) -> rz(6) -> rx(6) -> rz(6) -> rzz(0,6) -> rz(0) -> rx(6) -> rz(6) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4) -> measure(5) -> measure(6)"
grover,ibm,qiskit-generic-backend-v2-line-proxy,2,1,8,8.0,12.0,0.0,2.0,0.0,True,"{""cx"": 2, ""measure"": 2, ""rz"": 9, ""sx"": 4}","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> sx(1) -> rz(1) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> measure(0) -> measure(1)"
grover,ibm,qiskit-generic-backend-v2-line-proxy,2,2,8,8.0,12.0,0.0,2.0,0.0,True,"{""cx"": 2, ""measure"": 2, ""rz"": 9, ""sx"": 4}","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> sx(1) -> rz(1) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> measure(0) -> measure(1)"
grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,8,8.0,12.0,0.0,2.0,0.0,True,"{""cx"": 2, ""measure"": 2, ""rz"": 9, ""sx"": 4}","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> sx(1) -> rz(1) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> measure(0) -> measure(1)"
grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,8,8.0,10.0,0.0,2.0,0.0,True,"{""measure"": 2, ""rx"": 6, ""rz"": 8, ""rzz"": 2}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,8,8.0,10.0,0.0,2.0,0.0,True,"{""measure"": 2, ""rx"": 6, ""rz"": 8, ""rzz"": 2}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,8,8.0,10.0,0.0,2.0,0.0,True,"{""measure"": 2, ""rx"": 6, ""rz"": 8, ""rzz"": 2}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
qft,ibm,qiskit-generic-backend-v2-line-proxy,3,1,7,14.0,42.0,6.0,27.0,0.0,True,"{""cx"": 27, ""measure"": 3, ""rz"": 12, ""sx"": 3}","rz(2) -> sx(2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> sx(1) -> rz(1) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> measure(0) -> measure(1) -> measure(2)"
qft,ibm,qiskit-generic-backend-v2-line-proxy,3,2,7,14.0,42.0,6.0,27.0,0.0,True,"{""cx"": 27, ""measure"": 3, ""rz"": 12, ""sx"": 3}","rz(2) -> sx(2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> sx(1) -> rz(1) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> measure(0) -> measure(1) -> measure(2)"
