scenario,duration_multiplier,error_multiplier,circuit_family,provider,target_model,qubit_count,repetition,estimated_native_execution_duration_from_proxy_timing_model_ns,estimated_native_execution_duration_from_proxy_timing_model_us,estimated_success_probability_from_proxy_error_model
pessimistic,1.25,2.0,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,562.5,0.5625,0.947946
pessimistic,1.25,2.0,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,775.0,0.775,0.901362
pessimistic,1.25,2.0,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,562.5,0.5625,0.947946
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,1,5050.0,5.05,0.692879
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,1,962.5,0.9625,0.917859
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,2,5050.0,5.05,0.692879
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,2,962.5,0.9625,0.917859
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,3,5050.0,5.05,0.692879
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,962.5,0.9625,0.917859
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,1,13600.0,13.6,0.409424
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,1,1762.5,1.7625,0.860519
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,2,13600.0,13.6,0.409424
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,2,1762.5,1.7625,0.860519
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,3,13600.0,13.6,0.409424
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1762.5,1.7625,0.860519
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,1,22150.0,22.15,0.24193
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,1,2562.5,2.5625,0.806761
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,2,22150.0,22.15,0.24193
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,2,2562.5,2.5625,0.806761
pessimistic,1.25,2.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,22150.0,22.15,0.24193
pessimistic,1.25,2.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,2562.5,2.5625,0.806761
pessimistic,1.25,2.0,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,1,1450.0,1.45,0.878045
pessimistic,1.25,2.0,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,900.0,0.9,0.935654
pessimistic,1.25,2.0,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,2,1450.0,1.45,0.878045
pessimistic,1.25,2.0,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,900.0,0.9,0.935654
pessimistic,1.25,2.0,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1450.0,1.45,0.878045
pessimistic,1.25,2.0,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,900.0,0.9,0.935654
pessimistic,1.25,2.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,1,10875.0,10.875,0.509694
pessimistic,1.25,2.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,1,1912.5,1.9125,0.87817
pessimistic,1.25,2.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,2,10875.0,10.875,0.509694
pessimistic,1.25,2.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,2,1912.5,1.9125,0.87817
pessimistic,1.25,2.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,10875.0,10.875,0.509694
pessimistic,1.25,2.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1912.5,1.9125,0.87817
pessimistic,1.25,2.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,1,44750.0,44.75,0.077488
pessimistic,1.25,2.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,1,4412.5,4.4125,0.75667
pessimistic,1.25,2.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,2,44750.0,44.75,0.077488
pessimistic,1.25,2.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,2,4412.5,4.4125,0.75667
pessimistic,1.25,2.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,3,44750.0,44.75,0.077488
pessimistic,1.25,2.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,4412.5,4.4125,0.75667
