algorithm_family,all_zero_or_all_one_probability,circuit_id,circuit_index,counts_json,display_name,distinct_outcomes,distribution_fidelity,evidence_type,execute_job_name,ideal_distribution_json,marked_state_probability,repetition,shots_requested,shots_retrieved,target,target_classification,total_variation_distance
GHZ,0.988,ghz_7,3,"{""0000000"": 480, ""0000001"": 1, ""0000100"": 1, ""0001000"": 1, ""0010000"": 1, ""0100000"": 2, ""1000001"": 1, ""1011111"": 1, ""1110111"": 3, ""1111011"": 1, ""1111111"": 508}",GHZ-7,11,0.987801579584,emulator,execute-H2-Emulator-matched-r2-20260723T163500Z,"{""0000000"": 0.4999999999999999, ""1111111"": 0.4999999999999999}",,2,1000,1000,H2-Emulator,emulator,0.02
Grover,,grover_search_2,4,"{""01"": 3, ""10"": 4, ""11"": 993}",Grover-2,3,0.993,emulator,execute-H2-Emulator-matched-r2-20260723T163500Z,"{""11"": 0.9999999999999991}",0.993,2,1000,1000,H2-Emulator,emulator,0.007
QFT,,qft_3,5,"{""000"": 126, ""001"": 126, ""010"": 142, ""011"": 111, ""100"": 124, ""101"": 102, ""110"": 133, ""111"": 136}",QFT-3,8,0.997514017693,emulator,execute-H2-Emulator-matched-r2-20260723T163500Z,"{""000"": 0.12499999999999994, ""001"": 0.12499999999999994, ""010"": 0.12499999999999994, ""011"": 0.12499999999999994, ""100"": 0.12499999999999994, ""101"": 0.12499999999999994, ""110"": 0.12499999999999994, ""111"": 0.12499999999999994}",,2,1000,1000,H2-Emulator,emulator,0.038
QFT,,qft_5,6,"{""00000"": 28, ""00001"": 34, ""00010"": 35, ""00011"": 28, ""00100"": 39, ""00101"": 25, ""00110"": 28, ""00111"": 37, ""01000"": 32, ""01001"": 25, ""01010"": 30, ""01011"": 31, ""01100"": 41, ""01101"": 26, ""01110"": 30, ""01111"": 33, ""10000"": 36, ""10001"": 27, ""10010"": 31, ""10011"": 31, ""10100"": 26, ""10101"": 29, ""10110"": 39, ""10111"": 28, ""11000"": 39, ""11001"": 36, ""11010"": 26, ""11011"": 29, ""11100"": 34, ""11101"": 26, ""11110"": 29, ""11111"": 32}",QFT-5,32,0.994899084029,emulator,execute-H2-Emulator-matched-r2-20260723T163500Z,"{""00000"": 0.031249999999999976, ""00001"": 0.031249999999999976, ""00010"": 0.031249999999999976, ""00011"": 0.031249999999999976, ""00100"": 0.031249999999999976, ""00101"": 0.031249999999999976, ""00110"": 0.031249999999999976, ""00111"": 0.031249999999999976, ""01000"": 0.031249999999999976, ""01001"": 0.031249999999999976, ""01010"": 0.031249999999999976, ""01011"": 0.031249999999999976, ""01100"": 0.031249999999999976, ""01101"": 0.031249999999999976, ""01110"": 0.031249999999999976, ""01111"": 0.031249999999999976, ""10000"": 0.031249999999999976, ""10001"": 0.031249999999999976, ""10010"": 0.031249999999999976, ""10011"": 0.031249999999999976, ""10100"": 0.031249999999999976, ""10101"": 0.031249999999999976, ""10110"": 0.031249999999999976, ""10111"": 0.031249999999999976, ""11000"": 0.031249999999999976, ""11001"": 0.031249999999999976, ""11010"": 0.031249999999999976, ""11011"": 0.031249999999999976, ""11100"": 0.031249999999999976, ""11101"": 0.031249999999999976, ""11110"": 0.031249999999999976, ""11111"": 0.031249999999999976}",,2,1000,1000,H2-Emulator,emulator,0.06075
Bell,0.995,bell_state,0,"{""00"": 513, ""01"": 5, ""11"": 482}",Bell-2,3,0.994758484091,emulator,execute-H2-Emulator-matched-r3-20260723T163500Z,"{""00"": 0.4999999999999999, ""11"": 0.4999999999999999}",,3,1000,1000,H2-Emulator,emulator,0.018
GHZ,0.993,ghz_3,1,"{""000"": 499, ""010"": 3, ""011"": 1, ""101"": 1, ""110"": 2, ""111"": 494}",GHZ-3,6,0.992993705902,emulator,execute-H2-Emulator-matched-r3-20260723T163500Z,"{""000"": 0.4999999999999999, ""111"": 0.4999999999999999}",,3,1000,1000,H2-Emulator,emulator,0.007
GHZ,0.982,ghz_5,2,"{""00000"": 490, ""01000"": 1, ""01111"": 2, ""10001"": 1, ""10011"": 4, ""10111"": 1, ""11011"": 3, ""11100"": 1, ""11101"": 4, ""11110"": 1, ""11111"": 492}",GHZ-5,11,0.981998981669,emulator,execute-H2-Emulator-matched-r3-20260723T163500Z,"{""00000"": 0.4999999999999999, ""11111"": 0.4999999999999999}",,3,1000,1000,H2-Emulator,emulator,0.018
GHZ,0.983,ghz_7,3,"{""0000000"": 473, ""0000001"": 1, ""0111110"": 1, ""1000000"": 2, ""1000001"": 1, ""1000111"": 1, ""1011111"": 2, ""1111011"": 5, ""1111101"": 2, ""1111110"": 2, ""1111111"": 510}",GHZ-7,11,0.982651707724,emulator,execute-H2-Emulator-matched-r3-20260723T163500Z,"{""0000000"": 0.4999999999999999, ""1111111"": 0.4999999999999999}",,3,1000,1000,H2-Emulator,emulator,0.027
Grover,,grover_search_2,4,"{""00"": 1, ""01"": 6, ""10"": 2, ""11"": 991}",Grover-2,4,0.991,emulator,execute-H2-Emulator-matched-r3-20260723T163500Z,"{""11"": 0.9999999999999991}",0.991,3,1000,1000,H2-Emulator,emulator,0.009
QFT,,qft_3,5,"{""000"": 114, ""001"": 125, ""010"": 131, ""011"": 114, ""100"": 123, ""101"": 125, ""110"": 133, ""111"": 135}",QFT-3,8,0.999098832064,emulator,execute-H2-Emulator-matched-r3-20260723T163500Z,"{""000"": 0.12499999999999994, ""001"": 0.12499999999999994, ""010"": 0.12499999999999994, ""011"": 0.12499999999999994, ""100"": 0.12499999999999994, ""101"": 0.12499999999999994, ""110"": 0.12499999999999994, ""111"": 0.12499999999999994}",,3,1000,1000,H2-Emulator,emulator,0.024
QFT,,qft_5,6,"{""00000"": 33, ""00001"": 33, ""00010"": 25, ""00011"": 35, ""00100"": 20, ""00101"": 35, ""00110"": 28, ""00111"": 36, ""01000"": 23, ""01001"": 27, ""01010"": 31, ""01011"": 29, ""01100"": 29, ""01101"": 30, ""01110"": 35, ""01111"": 32, ""10000"": 36, ""10001"": 34, ""10010"": 33, ""10011"": 36, ""10100"": 31, ""10101"": 35, ""10110"": 27, ""10111"": 36, ""11000"": 33, ""11001"": 36, ""11010"": 28, ""11011"": 29, ""11100"": 27, ""11101"": 28, ""11110"": 38, ""11111"": 32}",QFT-5,32,0.995146784496,emulator,execute-H2-Emulator-matched-r3-20260723T163500Z,"{""00000"": 0.031249999999999976, ""00001"": 0.031249999999999976, ""00010"": 0.031249999999999976, ""00011"": 0.031249999999999976, ""00100"": 0.031249999999999976, ""00101"": 0.031249999999999976, ""00110"": 0.031249999999999976, ""00111"": 0.031249999999999976, ""01000"": 0.031249999999999976, ""01001"": 0.031249999999999976, ""01010"": 0.031249999999999976, ""01011"": 0.031249999999999976, ""01100"": 0.031249999999999976, ""01101"": 0.031249999999999976, ""01110"": 0.031249999999999976, ""01111"": 0.031249999999999976, ""10000"": 0.031249999999999976, ""10001"": 0.031249999999999976, ""10010"": 0.031249999999999976, ""10011"": 0.031249999999999976, ""10100"": 0.031249999999999976, ""10101"": 0.031249999999999976, ""10110"": 0.031249999999999976, ""10111"": 0.031249999999999976, ""11000"": 0.031249999999999976, ""11001"": 0.031249999999999976, ""11010"": 0.031249999999999976, ""11011"": 0.031249999999999976, ""11100"": 0.031249999999999976, ""11101"": 0.031249999999999976, ""11110"": 0.031249999999999976, ""11111"": 0.031249999999999976}",,3,1000,1000,H2-Emulator,emulator,0.05675
