circuit_family,qubit_count,repetition,ibm_target_model,quantinuum_target_model,metric,ibm_value,quantinuum_value,quantinuum_minus_ibm,percent_difference_vs_ibm
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,27.0,6.0,-21.0,-77.77777777777779
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,14.0,7.0,-7.0,-50.0
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,6.0,0.0,-6.0,-100.0
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,8700.0,1530.0,-7170.0,-82.41379310344827
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,8.7,1.53,-7.169999999999999,-82.41379310344827
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.71536,0.937323,0.22196300000000002,31.028153656900027
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,7.0,7.0,0.0,0.0
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,42.0,21.0,-21.0,-50.0
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,27.0,6.0,-21.0,-77.77777777777779
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,14.0,7.0,-7.0,-50.0
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,6.0,0.0,-6.0,-100.0
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,35800.0,3530.0,-32270.0,-90.13966480446928
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,35.8,3.53,-32.269999999999996,-90.13966480446926
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.280311,0.870268,0.5899570000000001,210.4651619094506
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,11.0,11.0,0.0,0.0
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,106.0,29.0,-77.0,-72.64150943396226
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,116.0,16.0,-100.0,-86.20689655172413
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,33.0,11.0,-22.0,-66.66666666666666
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,30.0,0.0,-30.0,-100.0
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,35800.0,3530.0,-32270.0,-90.13966480446928
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,35.8,3.53,-32.269999999999996,-90.13966480446926
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.280311,0.870268,0.5899570000000001,210.4651619094506
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,11.0,11.0,0.0,0.0
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,106.0,29.0,-77.0,-72.64150943396226
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,116.0,16.0,-100.0,-86.20689655172413
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,33.0,11.0,-22.0,-66.66666666666666
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,30.0,0.0,-30.0,-100.0
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,35800.0,3530.0,-32270.0,-90.13966480446928
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,35.8,3.53,-32.269999999999996,-90.13966480446926
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.280311,0.870268,0.5899570000000001,210.4651619094506
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,11.0,11.0,0.0,0.0
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,106.0,29.0,-77.0,-72.64150943396226
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,116.0,16.0,-100.0,-86.20689655172413
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,33.0,11.0,-22.0,-66.66666666666666
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,30.0,0.0,-30.0,-100.0
